id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
912376515482577945,Rental unit in Enskede-Årsta-Vantör · ★4.40 · 2 bedrooms · 1 bed · 1.5 shared baths,519645445,Jack,,Enskede-Årsta-Vantörs,59.25248997415141,18.027669473541277,Private room,262,1,5,2023-08-12,0.81,1,90,5,
912411723981696103,Rental unit in Kungsholmen · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,422007912,Maria,,Kungsholmens,59.32924,18.05018,Entire home/apt,1800,3,4,2023-08-31,0.68,1,76,4,
912691649090107800,Home in Hässelby-Vällingby · 3 bedrooms · 2 beds · 2.5 baths,519725749,Daniel,,Hässelby-Vällingby,59.37237,17.86403,Entire home/apt,,7,0,,,1,0,0,
912751676151011419,Rental unit in Enskede-Årsta-Vantör · 1 bedroom · 1 bed · 1 bath,34846105,Ida,,Enskede-Årsta-Vantörs,59.28013661028942,18.054291193156185,Entire home/apt,,1,2,2023-07-22,0.34,1,0,2,
912777088146920138,Rental unit in Bromma · 2 bedrooms · 2 beds · 1.5 baths,18401916,Veronica,,Bromma,59.359626032069976,17.954180762171745,Entire home/apt,,5,0,,,1,0,0,
913100397809848639,Home in Hässelby-Vällingby · 3 bedrooms · 4 beds · 2 baths,161554649,Amelie,,Hässelby-Vällingby,59.36052,17.88362,Entire home/apt,1600,2,2,2023-08-22,0.42,1,352,2,
913107629630540230,Rental unit in Kungsholmen · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,89276086,Martin,,Kungsholmens,59.3314023,18.0274578,Entire home/apt,2000,1,5,2023-10-22,0.93,1,0,5,
913544242462531032,Rental unit in Kungsholmen · ★4.89 · Studio · 1 bed · 1 bath,519947270,Eric,,Kungsholmens,59.32868600558842,18.005541574637935,Entire home/apt,1043,3,9,2023-10-31,1.54,1,17,9,
913629258778194030,Rental unit in Enskede-Årsta-Vantör · ★4.47 · 1 bedroom · 2 beds · 1 bath,135323554,Andreas,,Enskede-Årsta-Vantörs,59.27413946975729,18.02000389054975,Entire home/apt,610,1,15,2023-11-22,2.38,35,248,15,
913683890796895711,Rental unit in Södermalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,94326809,Isak,,Södermalms,59.310692502738156,18.0691691284903,Entire home/apt,,5,6,2023-10-08,1.03,1,0,6,
913717790609606928,Home in Bromma · 3 bedrooms · 3 beds · 1.5 baths,471778337,Tove,,Bromma,59.36509,17.93385,Entire home/apt,,1,2,2023-07-22,0.34,1,0,2,
914161133149364732,Rental unit in Norrmalm · 3 bedrooms · 3 beds · 1 bath,31453867,Markus,,Norrmalms,59.34572,18.04541,Entire home/apt,2191,5,1,2023-07-28,0.19,1,63,1,
914252854526326902,Rental unit in Kungsholmen · 3 bedrooms · 3 beds · 2 baths,16918384,Pia,,Kungsholmens,59.320371826291726,17.98623052190115,Entire home/apt,2032,5,1,2023-08-14,0.22,1,312,1,
914301945061063068,Rental unit in Norrmalm · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,195319782,Jatin,,Norrmalms,59.34181,18.06207,Entire home/apt,939,7,4,2023-07-11,0.66,1,41,4,
914526523222354012,Rental unit in Södermalm · ★4.89 · 1 bedroom · 1 bed · 1 bath,515403547,Woranan,,Södermalms,59.31415,18.07711,Entire home/apt,1136,3,19,2023-12-12,3.56,1,174,19,
914544258453956676,Rental unit in Södermalm · 1 bedroom · 3 beds · 1 bath,72114799,Sahir,,Södermalms,59.31552096844178,18.034547310953442,Entire home/apt,,14,0,,,1,355,0,
914567538049093647,Rental unit in Tensta · ★4.40 · 1 bedroom · 1 bed · 1 bath,363423521,Edlira,,Spånga-Tensta,59.3969633,17.8992086,Private room,386,4,5,2023-11-12,0.87,3,364,5,
915030200699057682,Home in Bagarmossen · 2 bedrooms · 2 beds · 2 baths,5509076,Therese,,Skarpnäcks,59.27417882675981,18.146742815344247,Entire home/apt,,5,0,,,1,0,0,
915068699258392993,Rental unit in Östermalm · 1 bedroom · 1 bed · 1 bath,428474023,Arvid,,Östermalms,59.35381,18.09695,Entire home/apt,918,15,0,,,1,364,0,
915108179460924964,Rental unit in Kista · 2 bedrooms · 2 beds · 1 bath,358302925,Muhammad,,Rinkeby-Tensta,59.40391521509835,17.93842947974261,Entire home/apt,1277,30,0,,,1,364,0,
915190086568316800,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,520352901,Markus,,Södermalms,59.31074,18.07507,Entire home/apt,,7,1,2023-07-19,0.18,1,0,1,
915208437606645382,Rental unit in Hässelby-Vällingby · 2 bedrooms · 3 beds · 2 baths,8919626,Joakim,,Hässelby-Vällingby,59.35841,17.82945,Entire home/apt,1345,4,0,,,1,193,0,
915329863006706601,Rental unit in Spånga-Tensta · 1 bedroom · 1 bed · 1 bath,30391789,Ebba,,Spånga-Tensta,59.38484,17.91243,Entire home/apt,959,3,0,,,1,89,0,
